,abstract,author,download_number,field,foundation,issue,keyword,number,organization,page,page_number,size,title,year
1979,"基于组件的开发是一种软件开发方法,它对控制迅速增长的复杂性和业务信息系统成本是最有希望的,其包括需求分析、体系结构、设计、构建、测试、部署、支持技术、基础设施和项目管理等。本文介绍给出了采用这种方法开发的协作学习系统的模型。",['张仁津'],75,['计算机软件及计算机应用'],['贵州省科技基金——黔科合计(2004)3050资助'],1,"['协作学习', '组件', '基于组件的开发']",14,['贵州师范大学数学与计算机科学学院 贵州贵阳550001'],58-61,4,280K,基于组件的协作学习设计,2007
1980,"通过定义确定型有穷自动机在状态集上的等价关系,可以构造一类非确定型有穷自动机在状态集上的等价关系,利用这个等价关系可以对这类非确定型有穷自动机进行极小化。","['李翰芳', '李培培']",32,['计算机软件及计算机应用'],[],1,"['确定型有穷自动机', '非确定型有穷自动机', '等价关系', '状态极小化']",15,"['贵州大学数学系', '贵州大学数学系 贵阳550025']",62-67,6,169K,连接型自动机的极小化及其复杂性,2007
1981,"利用JGP-560CⅧ型带空气锁的超高真空多功能溅射系统在Si(100)和玻璃基底上沉积了介质薄膜、半导体薄膜、金属薄膜和磁性薄膜,通过实验研究得到各种薄膜较好的镀膜条件;并采用可变入射角椭圆偏振光谱仪对其中一些薄膜的光学性质进行了分析,研究了制备条件对薄膜在可见光范围内光学性质的影响;我们还研究了直流溅射、射频溅射、反应溅射的特点和它们的适用范围。","['余平', '任雪勇', '肖清泉', '张晋敏']",1417,"['物理学', '工业通用技术及设备']",[],1,"['磁控溅射', '薄膜', '椭偏仪']",16,"['贵州大学计算机科学与技术学院电子科学系', '贵州大学计算机科学与技术学院电子科学系 贵州贵阳550025']",68-70+86,4,270K,磁控溅射真空制膜技术,2007
1982,"蜜网是一种高交互的蜜罐,是一个具有高度可控性的网络系统。蜜网的核心需求就是数据控制和数据捕获,而其关键部件就是蜜墙。本文将结合蜜网的核心需求尝试对蜜墙进行研究与设计。","['马良玉', '杨世平']",161,['互联网技术'],[],1,"['网络安全', '主动防御', '蜜网', '蜜墙']",17,"['贵州大学计算机科学学院', '贵州大学计算机科学学院 贵州贵阳550025']",71-74,4,319K,蜜网系统中蜜墙的研究与设计,2007
1983,"对贵州省湄潭县利用广电光纤资源建立独立的快速内部网的三个方案进行了研究和比较,结果表明,利用1根光纤和复合光纤收发器既节约成本,其性能又能达到利用多根光纤的效果,是建立从县城到乡镇之间多个独立网络的最优方案。",['李忠驿'],16,['互联网技术'],[],1,"['以太网', '光纤', '复合收发器']",18,['贵州省湄潭县文体广播电视局 贵州湄潭564100'],75-77,3,486K,浅谈建立多个以太网技术方案,2007
1984,"在阐述MPEG-4视频编码原理的基础上,本文重点介绍方块DCT(离散余弦变换)变换编码算法在图像/视频压缩中的原理与重要地位,并研究了目前适合于MPEG-4标准的基于形状自适应离散余弦变换(Shape Adaptive DCT)的视频变换编码新方法。","['张荣芬', '李良荣', '杨鲁平']",294,['电信技术'],['贵州省教育厅高校科研专项目基金(2005203)'],1,"['MPEG-4', '变换编码技术', 'SA-DCT']",19,"['贵州大学电子科学与信息技术学院', '贵州大学电子科学与信息技术学院 贵阳550025']",78-82,5,374K,基于MPEG-4的DCT变换编码技术研究,2007
1985,"讨论了电流模式电路及跨导器的基本概念及性能特点,研究并给出了改善输入级传输特性的线性程度并扩大线性范围的方法。","['施树春', '王国伟']",111,['无线电电子学'],[],1,"['跨导运算放大器', '跨导器', '电流模式电路', '线性化']",20,"['兰州城市学院物理系', '兰州城市学院物理系 甘肃兰州730070']",83-86,4,207K,改善跨导放大器线性化方法的研究,2007
1986,"提出了利用相位调制器和色散补偿光纤(DCF)把非归零(NRZ)码信号转换成为占空比可调的归零(RZ)码信号的方案。从原理上分析了调制信号功率与色散介质色散量对所产生结果的影响,得到通过改变调制深度和DCF总色散量可以使NRZ码转换为占空比可调的RZ码的结论。实验给出了在10Gb/s速率下的实验结果,得到了很好的转换后的RZ码输出。在17dBm的调制功率下,所得的RZ码占空比为32.6%。",['江阳'],177,['无线电电子学'],[],1,"['相位调制器', '色散补偿光纤', 'NRZ', 'RZ', '码型转换']",21,['贵州大学理学院物理系 贵州贵阳550025'],87-89+97,4,325K,利用相位调制器实现占空比可调的NRZ到RZ码的码型转换,2007
1987,"介绍了聚酰亚胺(PI)作为硅双极型大功率开关器件芯片制造阶段表面钝化膜的工艺技术,该钝化工艺的工艺简单、成本低且能与普通的硅平面制造工艺兼容。实验表明,该工艺的使用能提高器件的可靠性,降低生产成本。","['龚红', '梁蓓']",249,['无线电电子学'],[],1,"['聚酰亚胺', '表面钝化', '化学腐蚀', '亚胺化']",22,"['贵州大学电子科学系', '贵州大学电子科学系 贵州贵阳550025']",90-93,4,239K,聚酰亚胺表面钝化工艺,2007
1988,"CR I公司的Flexicat yellow/blue催化剂是大庆石化苯乙烯装置应用的第四批乙苯脱氢催化剂,在延长期采取了合理提高入口温度、合理匹配稀释蒸汽的用量、加强尾气压缩机的操作等有效的操作方法,使该催化剂从装填到卸载共运行了35个月,共生产苯乙烯210913吨,使用周期增加46%,增加经济效益1.5亿元。该催化剂的运行周期创造了大庆石化苯乙烯装置乙苯脱氢催化剂运行时间最长的纪录。同时该催化剂在运行期间的各项指标都达到历史最好水平。","['赵向凤', '郭晓宁', '司文彬', '梁杰', '唐海龙']",80,['有机化工'],[],1,"['催化剂', '苯乙烯', '乙苯']",23,"['中国石油大庆石化总厂化工厂', '贵州大学材料科学与冶金工程学院', '贵州大学材料科学与冶金工程学院 黑龙江大庆163714', '贵州贵阳550003']",94-97,4,418K,CRI乙苯脱氢催化剂的应用,2007
1989,"根据近几年来国内外高层建筑的新的发展趋势,从结构受力的角度分析在复杂荷载作用下结构转换层的受力情况,在分析的过程中使用PKPM—TAT和有限元分析软件ANSYS对转换层进行静力分析,分析结果对高层建筑,特别是超高层建筑的转换层设计提供借鉴和参考。","['周理', '黄勇']",200,['建筑科学与工程'],[],1,"['复杂结构转换层', '转换层形式', 'TAT', 'ANSYS', '静力分析']",24,"['贵州大学土木建筑工程学院', '贵州大学土木建筑工程学院 贵州贵阳550003']",98-101,4,659K,复杂高层建筑结构转换层的静力分析,2007
1990,"根据各种测图比例尺对控制网提出的不同精度要求,结合测区所处的地理位置,以及工程放样的特殊要求,应合理选择投影带和投影面,使工程平面控制网控制点之间的反算边长与实地量测边长基本一致,即投影改正误差不超过规范要求。",['赵芹'],253,['自然地理学和测绘学'],['贵州大学科研项目:贵州省高层建筑变形监测系统方案2002年'],1,"['控制网', '变形', '放样', '投影带', '投影面']",25,['贵州大学矿业学院 贵州贵阳550003'],102-104,3,63K,工程测量投影带与投影面的合理选择,2007
1991,"概述了麻疯树的形态特征、分布、化学成分、药理活性、毒性研究及其在新能源上的应用等方面的一些进展,并对其应用前景及发展趋势进行了展望.","['刘杰', '李黔柱', '尹航', '杨松', '宋宝安']",682,['生物学'],['教育部新世纪优秀人才计划(No:NCET-05-0818)'],1,"['麻疯树', '化学成分', '生物活性', '毒理研究', '生物柴油', '开发利用进展']",26,"['贵州大学精细化工研究开发中心贵州大学可再生能源研究中心', '贵州大学精细化工研究开发中心贵州大学可再生能源研究中心 贵州贵阳550025']",105-110,6,191K,麻疯树植物资源的研究与开发利用进展,2007
1992,"引入群G到群H上的完全非平衡函数来考察G×H相对于{1}×H的分裂相对差集,证明了完全非平衡函数的存在性与对应的分裂相对差集的存在性等价.通过研究完全非平衡函数的基本性质,得到了一些结果.",['李健'],11,['数学'],[],4,"['分裂相对差集', '完全非平衡函数', 'Planar函数', 'Bent函数', '广义Bent函数']",0,['贵州大学理学院 贵阳550025'],331-334,4,93K,完全非平衡函数与分裂相对差集,2006
1993,"古诺模型是博奕理论中最经典的模型之一,考虑了多目标情形下的古诺模型,运用加权的方法证明了其加权均衡解的存在性与稳定性.","['武小艳', '张勇', '向淑文']",130,['数学'],"['国家自然科学基金资助(NO.0561003)', '贵州省优秀人才省长专项基金资助']",4,"['多目标古诺模型', '加权均衡解', '存在性', '稳定性']",1,"['贵州大学理学院', '贵州大学理学院 贵州贵阳550025']",335-337+345,4,122K,多目标古诺模型加权均衡解的存在性与稳定性,2006
1994,"综合利用工程实践经验及可靠性理论知识,确立了某种产品贮存时间与使用失效率的函数关系,建立了基于贮存寿命为指数分布,使用寿命为Weibull分布的贮存-使用可靠性模型,并给出了其相应的参数估计方法.最后给出实例予以验证.","['蔡静', '雷小平', '赵明']",111,['数学'],"['电子产品贮存期评估的加速寿命试验方法与应用(国家自然科学基金', 'NO.70571018)']",4,"['贮存-使用可靠性模型', '贮存可靠性', '使用可靠性']",2,"['贵州大学工业经济工程研究所', '贵州大学工业经济工程研究所 贵阳550025']",338-341,4,95K,贮存-使用可靠性模型估计问题的研究,2006
1995,"利用斯托克斯矢量法分析了左(右)旋偏振光的产生原理,并由此推导出了将左(右)旋偏振光调为右(左)旋偏振光的新方法.","['李华', '李强']",101,['物理学'],[],4,"['斯托克斯矢量', '左旋偏振光', '右旋偏振光', '可调性']",3,"['北京装甲兵工程学院基础部理化室', '广州大学体育学院 北京100072', '广东广州510006']",342-345,4,73K,实现左、右旋偏振光可调性的新方法,2006
1996,"用改进的双槽法和激光辅助照射制备多孔硅锗,用电子扫描探针观察其形貌.同时测样品的PL光谱,峰位在725nm左右,且不随制备条件的变化而变化.强度比一般多孔硅的强度强10倍左右.提出了量子受限和界面态效应综合模型来解释其发光.","['吴克跃', '黄伟其', '许丽', '刘世荣']",89,['无线电电子学'],[],4,"['激光辐照', '多孔硅锗', 'PL光谱', '量子受限和界面态综合模型.']",4,"['贵州大学理学院', '中国科学院贵阳地球化学研究所 贵阳贵州550025', '贵阳贵州550003']",346-348,3,186K,激光辅助制备多孔硅锗的形貌和PL光谱研究,2006
1997,"利用改进的氟硅酸钾容量法测定海绵钛生产工艺中回收四氯化硅中硅含量.采用密封针管取样克服了四氯化硅水解困难,测定范围为5%-85%.同时运用现代统计学理论对影响分析结果的因素进行了讨论分析,通过对方法不确定度的系统分析,确定了方法的标准不确定度±0.32%,扩展不确定度为±0.96%,表明方法的分析过程处于质控状态,结果可靠.","['郭峰', '曾广铭', '宋光林', '宋玉萍', '许华杰', '陈红亮', '谭红', '何锦林']",93,['化学'],['贵州省科技计划新材料专项(黔科人[2004]GGY033)'],4,"['氟硅酸钾容量法', '四氯化硅', '不确定度']",5,"['贵州大学', '贵州省理化测试分析研究中心', '贵州省理化测试分析研究中心 贵州贵阳550001']",349-353,5,114K,四氯化硅中硅含量测定及不确定度评定,2006
1998,"黔产麻疯树叶的乙醇提取物的乙酸乙酯萃取层经柱层析分离得到4个化合物,根据化合物的理化性质及光谱数据分别鉴定为牡荆素、苯甲酸、齐敦果酸和胡萝卜甙.","['宋邦琼', '胡德禹', '杨松', '宋宝安', '薛伟', '卢平', '金林红']",111,['中药学'],['贵州省科技重大专项(No.20051004)项目资助'],4,"['麻疯树叶', '分离', '化学成分']",6,"['教育部绿色农药与农业生物工程重点实验室贵州大学精细化工研究开发中心', '教育部绿色农药与农业生物工程重点实验室贵州大学精细化工研究开发中心 贵阳550025']",354-355+370,3,87K,黔产麻疯树叶化学成分研究,2006
1999,"贵州早寒武世早期普遍存在一套黑色页岩。通过对麻江羊跳、铜仁、遵义中南、遵义松林小竹、天柱大公塘剖面实地考察与地球化学分析,认为贵州早寒武世黑色页岩是在缺氧环境下,热水沉积为主导,同时受陆源强烈影响,是海水、生物和地球深部物质共同作用下形成的.","['魏怀瑞', '杨瑞东', '鲍淼', '王强', '王伟']",407,['地质学'],['国家自然科学基金(NO.40462001)资助'],4,"['地球化学', '热水沉积', '黑色页岩', '早寒武世', '贵州']",7,"['贵州大学资环学院', '贵州大学资环学院 贵州贵阳550003']",356-360,5,317K,贵州早寒武世黑色页岩地球化学特征及其意义,2006
2000,"贵州红粘土是覆盖于碳酸盐岩系地层之上,由碳酸盐岩系地层中的不溶杂质为物质来源而形成的特殊红土.岩溶作用决定了红粘土的成土早期和物质来源的特点不同于其它岩石形成的土类;岩溶残余堆积物后期又经历红土化作用,造就了红粘土的基本特征.从成土过程中的主要地质作用来讨论红粘土的成因,指出以上两个成土阶段及其相互间的联系是红粘土成因的最主要环节,并分析了成因对红粘土特性形成的控制作用.","['廖义玲', '朱要强', '赵坤', '贺珺']",348,"['地质学', '工业通用技术及设备']",['国家自然科学基金项目(NO.46302001)'],4,"['红粘土', '岩溶作用', '红土化作用', '成因']",8,"['贵州大学资源与环境工程学院', '贵州大学资源与环境工程学院 贵阳550003']",361-365,5,110K,对贵州红粘土成因的再探讨,2006
2001,"贵州峨眉山玄武岩有关的矿床种类很多,有金,铜,锑,锰和稀土等许多金属矿床.这些矿床大部分产出的部位包括玄武岩下部界面,上部界面及喷发间期的浅变质熔结凝灰岩层中.这些层位不同层次不同程度发生了风化变质过程,出现了红土化,高岭土化,沸石化,硅化和沥青化,形成了一定规模的风化壳.本文结合贵州地区玄武岩的特征,对这些矿床的富集层位给予归纳总结,统称为风化壳型的矿床,并且对于赫章和威宁发现的两个稀土矿床进行对比分析.","['王伟', '杨瑞东', '鲍淼', '魏怀瑞', '王强']",327,"['地质学', '矿业工程']","['贵州省科学技术基金', '贵州省省长基金资助项目']",4,"['稀土矿', '风化壳', '峨眉山玄武岩', '贵州']",9,"['贵州大学资源与环境工程学院', '贵州大学资源与环境工程学院 贵阳550003']",366-370,5,491K,贵州峨眉山玄武岩区风化壳与成矿关系,2006
2002,"首次报道了从古尼虫草Cordyceps gunnii(Berk.)Berk.无性型,古尼拟青霉P.gunnii菌菌丝体中提取VE的条件。研究结果表明,VE提取的最佳方案是,用无水乙醇作为提取剂,提取时间90分;石油醚为萃取剂,萃取时间为60分.在提取过程中加入VC和通入氮气进行保护十分重要.","['韩燕峰', '梁宗琦', '周礼红']",129,['有机化工'],"['贵州省国际科技合作重点项目计划', '国家自然科学基金项目(No.30270011)']",4,"['古尼虫草', '古尼拟青霉', '天然维生素E', '提取工艺']",10,"['贵州大学真菌资源研究所', '贵州大学真菌资源研究所 贵阳贵州550025']",371-374,4,92K,古尼虫草Cordyceps gunnii无性型菌丝体中天然VE提取工艺研究,2006
2003,"用Monte Carlo方法模拟了n+n-n+-GaAs二极管中载流子的输运。考虑了在输运过程中的主要散射机制,包括极性光学声子散射、声学声子散射、谷间散射以及杂质散射,给出了模拟程序的流程图,自由飞行时间,散射机制的选择和电子波矢量,最后得出平均电子速率和平均电子能量.",['徐科军'],37,['无线电电子学'],[],4,"['Monte Carlo方法', '散射', '电子输运']",11,['贵州大学计算机科学与工程学院 贵州贵阳550025'],375-379,5,124K,基于Monte Carlo方法的n~+n~-n~+-GaAs二极管模拟,2006
2004,"介绍了XML在电子商务的基础性、通用性和关键性技术方面的应用,叙述了XML数据库与关系数据库之间的数据交换方法.",['潘光辉'],92,['计算机软件及计算机应用'],[],4,"['电子商务', 'XML', 'XML数据库']",12,['贵州大学经济学院 贵阳550025'],380-384,5,96K,关系数据库与XML的数据交换研究,2006
2005,"通过分析个性化配置产品的特征,阐述了产品配置设计系统的分类和特征.探讨了不同分类产品配置设计系统的WEB实现方法.并给出利用GD I+、VB.NET等技术实现改变外观特征的配置设计系统的方法及实例.",['伍涛'],45,['计算机软件及计算机应用'],[],4,"['产品配置设计', '个性化配置', 'GDI+']",13,['贵州大学机械工程与自动化学院 贵阳550003'],385-388,4,136K,基于Web的在线产品配置设计系统实现方法,2006
2006,"贵州省普通高校招生网上录取工作已经6年了,网上招生系统积累了大量数据.以这些数据资源为基础,建立面向招生工作的数据仓库;并且在实施数据仓库的基础之上,建立了考生报名、考生志愿、考生成绩、考生录取等多个主题的多维数据集市和OLAP应用.招生决策系统的成功实施,为考生科学合理填报高考志愿以及各级教育行政管理部门全面掌握我省普通高校招生考试信息提供决策支持和信息服务.",['王光翔'],94,['计算机软件及计算机应用'],[],4,"['数据仓库', 'OLAP', '决策系统']",14,['贵州省招生考试中心 550003'],389-391,3,66K,数据仓库技术在招生决策系统中的应用,2006
2007,"本PDM系统利用ADO实现对数据源的访问,利用ActiveX集成各CAD应用程序,采用产品的树型结构组织图文档,实现图文档的插入、删除、修改、浏览、版本控制等管理功能,以提高企业的管理效率.","['周竞', '须文波']",107,['计算机软件及计算机应用'],[],4,"['PDM', '图文档', 'ADO', 'ActiveX', '树结构']",15,"['江南大学信息工程学院', '江南大学信息工程学院 江苏无锡214122']",392-395,4,412K,PDM系统中图文档管理功能的研究与实现,2006
2008,"一般的网络考试系统是从题库中随机选题组卷,容易造成考卷难度不一影响考试的公平性.提出了使用petri网模型,采用启发式随机替换算法来控制考试系统出题难度的解决方案.","['梅翀', '孟传良']",76,['计算机软件及计算机应用'],[],4,"['Petri Nets', '考试系统', '抽题算法', '启发式']",16,"['贵州大学信息工程学院', '贵州大学信息工程学院 贵阳550003']",396-399,4,88K,基于Petri网的考试系统智能出卷的研究,2006
2009,"通过观察和分析M2高速钢在软氮化处理后渗层的组织形貌和相结构,结果表明渗层组织中合金氮碳化合物以山脉状沿晶界析出分布是高速钢氮化产生脆性的重要原因,分析了该脉状组织的形成原因和脆化机理.通过适当改变软氮化工艺参数,控制其合金氮碳化物在渗层中呈弥散颗粒状分布,可大幅改善高速钢的氮化脆性,使渗层在渗层深度、显微硬度、渗层组织形态等方面均达到工艺要求,且具有良好的显微硬度分布梯度,在生产实际应用中获得良好的效果.","['雷旻', '万明攀', '梁益龙', '杨伟', '唐登炜']",120,['金属学及金属工艺'],['贵州省教育厅2005年度自然科学重点研究项目资助'],4,"['高速钢', '软氮化', '渗层', '脉状组织', '弥散分布']",17,"['贵州大学材料科学与冶金工程学院', '西南工具集团 贵州贵阳550003']",400-403,4,169K,W6Mo5Cr4V2高速钢软氮化渗层脆性改进的研究,2006
2010,"金属腐蚀对生产安全有重要影响,实验用Gamry PCI-750测定了16MnR钢片和镁阳极的塔菲尔曲线,静态法测定16MnR钢片的腐蚀速率,并用柴油、乙二醇和水配制电解液,模拟实际油田的多相体系.实验着重测定了16MnR钢片和镁阳极的开路电压、腐蚀电位、腐蚀电流密度、腐蚀速率、最小保护电位和最小保护电流密度.","['唐海龙', '司文彬', '梁杰']",154,['金属学及金属工艺'],[],4,"['腐蚀', '塔菲尔曲线', '腐蚀电位', '腐蚀速率']",18,"['贵州大学材料科学与冶金工程学院', '大庆石油化工总厂', '贵州大学材料科学与冶金工程学院 贵州贵阳550003', '黑龙江大庆163714']",404-407,4,99K,多相介质中金属容器内壁的腐蚀与防护机理,2006
2011,"辐条钢丝在生产主要存在的问题是表面色泽不均,造成的主要原因为:钢丝表面涂层不均或涂层方式选择不当、去除钢丝表面氧化铁皮的方式欠妥及钢丝拉拔时润滑剂的选用上存在一定的问题.","['任明刚', '伍玉娇', '胡正中']",24,['金属学及金属工艺'],[],4,"['酸洗', '表面涂层', '硼化处理', '润滑剂', '钢丝']",19,"['贵州大学', '贵州钢绳股份有限公司 贵阳550003', '贵州563000']",408-410,3,277K,辐条钢丝表面色泽不均的原因探讨,2006
2012,"研究了用高品位铝土矿代替氢氧化铝合成铝酸钡的制备方法及合成机理.用高铝矿与碳酸钡在温度为1200℃,时间为80min,分子比为1.1时合成铝酸钡,其合成率99.5%.并对合成的铝酸钡进行了X射线分析,表明与试验结果相符.","['张念炳', '黎志英', '何润德']",61,['冶金工业'],['国家自然科学基金资助项目(NO.50264001)'],4,"['除硫剂', '碳酸钡', '高铝矿', '铝酸钡', '合成机理', '合成率']",20,"['贵州师范大学材料与建筑工程学院', '贵州大学材料与冶金工程学院', '贵州大学材料与冶金工程学院 贵阳550014', '贵州贵阳550003']",411-413,3,69K,用高品位铝土矿合成铝酸钡新方法研究,2006
2013,"从土地定级的技术路线出发,通过对作用于土地上能体现土地区位差异的经济、社会、自然条件因素的分析,探讨了福清市区土地定级的有关理论与方法的应用.借助GIS手段并结合实际把福清市区土地划分为6个级别,旨在为福清市制定新一轮基准地价提供参考.","['伍世代', '翁清光', '吕珊']",120,['宏观经济管理与可持续发展'],['福建省科技厅重点项目资助(2005R054)'],4,"['土地定级', '定级方法', 'GIS', '福清市']",21,"['福建师范大学城乡规划设计研究所', '福建师范大学城乡规划设计研究所 福建福州350007']",414-419,6,307K,城区土地定级更新探讨——以福清市为例,2006
2014,对贵州高速公路路槽开挖中容易遇到的滑坡地质灾害地质原因进行分析.并介绍目前运用的技术处理措施和施工技术及施工中需重视的要点.,['张激扬'],14,['公路与水路运输'],[],4,"['地质滑坡', '地质成因', '整治措施', '施工技术']",22,['贵州省公路桥梁工程总公司 贵州贵阳550002'],420-423,4,92K,对门坡滑坡整治措施和施工要点,2006
2015,"在结构控制理论研究成果基础上,提出了利用多层房屋结构屋顶水箱作为TMD&TLD装置系统来达到减震的目的;进一步对屋顶水箱作为减震装置的构造设计.并用仿真算例验证屋顶水箱作为减震装置系统设计的可行性和实用性.","['刘强', '邹祖军']",180,['建筑科学与工程'],[],4,"['调谐质量阻尼器', '调谐液体阻尼器', '设计参数', '屋顶水箱']",23,"['集美大学工程技术学院', '同济大学土木工程学院 福建厦门361021', '上海200092']",424-428,5,103K,利用屋顶水箱减小多层房屋结构地震反应设计,2006
2016,"结合人工挖孔嵌岩灌注桩的成因及理论,讨论了不同地质条件下设计该类桩基的不同点.并通过对桩基的受力分析,给出该类桩基础的一些构造措施.",['莫炜'],39,['建筑科学与工程'],[],4,"['人工挖孔嵌岩灌注桩', '端承桩', '桩周土侧阻力', '桩端侧阻力', '桩端端阻力']",24,['中水顾问集团贵阳勘测设计院 贵阳550002'],429-431,3,58K,浅议人工挖孔嵌岩灌注桩设计中的几个问题,2006
2017,"近年来,随着经济的发展,大型仓储式购物中心不断涌现,对于这类建筑,其特征是空间高大、货架多、面积大,这使它的火灾特征具有易燃物多、人员复杂、火灾危险性大的特点,因此,消防水灭火系统的设计是非常重要的.",['刘峥嵘'],64,"['建筑科学与工程', '安全科学与灾害防治']",[],4,"['仓储式购物中心', '自动喷水灭火系统', '喷头流量系数', '管径设计', '能量浪费']",25,['同济大学建筑设计研究院 上海200092'],432-434,3,60K,大型仓储式购物中心的自动喷水灭火系统设计,2006
2018,"提出了建筑物冷热电联产系统的循环经济运行模式,通过减少废物、废气、污染物排放,达到保护环境的目的.","['唐军', '莫珊']",56,"['宏观经济管理与可持续发展', '宏观经济管理与可持续发展']",['贵州省科技攻关项目:黔科合GY字(2006)3006'],4,"['循环经济', '能源', '冷热电联产']",26,"['贵州大学继续教育学院', '贵州大学继续教育学院 贵阳550003']",435-438,4,79K,建筑物冷热电联产的循环经济发展模型,2006
2019,"Weibull情形下,在对MTBF(Mean Time Between Failure)定时试验进行严格的数学描述基础上,得到了不同于以往的极大似然估计,并利用样本空间排序法找出了MTBF在一定意义下的最优置信限.",['胡尧'],124,"['数学', '工业通用技术及设备']",[],3,"['Weibull分布', 'Gumbel分布', 'MTBF', '定时试验', '极大似然估计']",0,['贵州大学理学院数学系 贵州贵阳550025'],221-223+230,4,101K,关于Weibull分布MTBF定时试验的置信限,2006
2020,"本文介绍怎样用Schroeppel,Orman,O’Malley,and Spatscheck[1]中的“A lmost InverseA lgorithm”在(Z/prZ)[x]/(xN-1)中快速计算多项式的逆.",['李健'],29,['数学'],[],3,"['多项式环', '可逆多项式', '快速平方算法']",1,['贵州大学理学院 贵州贵阳550025'],224-226,3,62K,(Z/p~rZ)[x]/(x~N-1)中多项式的逆,2006
2021,给出了一个正定矩阵Khatri-Rao积和普通乘积的特征值不等式.,"['胥德平', '夏顺友', '刘立新']",166,['数学'],[],3,"['正定矩阵', 'Khatri-Rao积', 'Kronecker积', '特征值不等式']",2,"['成都理工大学信息管理学院', '贵州大学理学院', '攀枝花学院 四川成都610059', '贵州贵阳550025', '四川攀枝花617000']",227-230,4,602K,关于正定矩阵Khatri-Rao积和普通乘积的一个特征值不等式,2006
2022,"作者运用标量化的方法,利用无限维赋范空间中的有界线性泛函代替通常意义下的权重,讨论了无限维赋范空间中广义加权解的上半连续性.","['胡明', '向淑文']",26,['数学'],['国家自然基金资助项目(NO:10561003)'],3,"['向量优化', '广义加权解', '有效解', '上半连续性']",3,"['江苏科技大学数理学院', '贵州大学数学系 江苏镇江212003', '贵州贵阳550025']",231-233+244,4,122K,向量优化问题广义加权解的上半连续性,2006
2023,"本文主要是用多元统计分析中综合主成分分析方法,改进了传统质量控制中需要利用包括均值—极差控制图、均值—标准差控制图、中位值—极差控制图等多张控制图才能进行对生产过程进行质量控制的缺点,得到用一张生产质量综合评分控制图来对生产过程进行质量控制.","['胡思贵', '雷小平', '赵明']",216,['数学'],[],3,"['质量控制图', '主成分分析法', '多元统计分析']",4,"['贵州大学理学院贵州大学工业经济研究所', '贵州大学理学院贵州大学工业经济研究所 贵州贵阳550025', '贵阳医学院', '贵州贵阳550001']",234-238,5,127K,基于主成分分析的综合评分法在质量控制图中的应用,2006
2024,"作者研究了时标意义下两类线性方程的初值问题和倒向问题,并给出了解的存在性和唯一性,同时也导出了共轭方程对及其它们之间的重要关系.","['宫玉荣', '陶娟', '项筱玲']",61,['数学'],['国家自然科学基金资助'],3,"['时间标度', 'Δ-导数', '线性动力方程', '倒向问题', '共轭方程']",5,"['贵州大学理学院数学系', '贵州大学理学院数学系 贵州贵阳550025']",239-244,6,179K,时标意义下一阶线性动力方程及其共轭方程(英文),2006
2025,"作者提出了一种估计串联系统可靠性的新的方法.该方法综合运用了系统水平和元件水平的部分数据.众所周知,一个串联系统的可靠度等于所有元件可靠度的乘积.为了精确估计所有元件的可靠度,我们必须充分利用所有测试数据信息.但是,由于在系统水平的数据中存在一些隐藏数据,我们必须通过一种EM算法来计算以系统水平测试数据为条件的元件的失效概率.另外,作者还提出了一个研究案例.","['雷小平', '蔡静', '赵明']",58,['数学'],[],3,"['串联系统', '可靠性', '隐藏数据', 'EM算法']",6,"['贵州大学工业经济工程研究所', '贵州大学工业经济工程研究所 贵州贵阳550025']",245-248+256,5,148K,基于系统隐藏寿命数据的串联系统可靠性估计(英文),2006
2026,"利用上海证券市场的实际交易数据对半绝对离差模型,基于分位数的绝对离差模型(Ruszczynski&Vanderbei,2003)以及MV模型进行了实证比较.通过分析各模型的全局最小风险组合,计算发现,半绝对离差模型比其他模型具有更好的样本外业绩.","['肖贤春', '胡支军']",308,"['金融', '数学', '宏观经济管理与可持续发展', '投资']",['贵州省自然科学基金资助项目(黔科教合J(2005)2002号)'],3,"['投资组合模型', '风险度量', '随机占优']",7,"['贵州大学数学系', '贵州大学数学系 贵州贵阳550025']",249-253,5,138K,基于不同风险度量的投资组合模型实证分析,2006
2027,"西部地区工业经济效益需要采用适当的指标分析方法加以衡量,以反映西部地区工业经济发展情况.本文运用Topsis法对西部地区12省份工业经济效益指标(2004年)进行了选取、计算,得出相应结果,最后对西部地区12省份的工业经济发展状况进行了排序和综合评价.","['汪磊', '王志凌']",174,"['工业经济', '数学', '宏观经济管理与可持续发展']",['国家社会科学基金资助项目(04BJY057)'],3,"['TOPSIS', '工业经济', '比较分析']",8,"['贵州大学经济学院', '贵州大学经济学院 贵州贵阳550025']",254-256,3,92K,基于TOPSIS法的西部地区工业经济效益比较分析,2006
2028,"制备了单相多晶Nd0.5Ca0.5MnO3样品,研究了该体系在电荷有序态下的电荷输运机制.研究表明,该体系在低温下表现为半导体输运特性,在250K处发生了电荷有序相变;电荷有序态下的电荷输运机制满足可变程跃迁模型.","['刘毅', '孔辉']",48,['物理学'],['贵州省科技厅自然科学基金项目(黔科合J字(2005)2091号)资助'],3,"['锰氧化物', '电荷有序态', '电阻率']",9,"['贵州大学理学院', '中国科学技术大学材料科学与工程系 贵州贵阳550003', '合肥230026']",257-258+293,3,91K,Nd0.5Ca0.5MnO3电荷有序态下电荷输运机制的研究,2006
